,Number_of_orders_delivered,count
0,1,7
1,2,7
2,3,9
3,4,10
4,5,6
5,6,8
6,7,13
7,8,14
8,9,10
9,10,20
10,11,13
11,12,13
12,13,21
13,14,20
14,15,22
15,16,17
16,17,15
17,18,26
18,19,14
19,20,12
20,21,12
21,22,17
22,23,9
23,24,11
24,25,14
25,26,13
26,27,13
27,28,9
28,29,8
29,30,9
30,31,15
31,32,13
32,33,17
33,34,6
34,35,9
35,36,8
36,37,12
37,38,10
38,39,9
39,40,6
40,41,6
41,42,4
42,43,7
43,44,9
44,45,7
45,46,1
46,47,5
47,48,4
48,49,5
49,50,2
50,51,6
51,52,2
52,53,4
53,54,3
54,55,2
55,56,2
56,57,7
57,58,2
58,59,6
59,60,1
60,61,1
61,62,1
62,64,1
63,65,1
64,66,1
65,67,1
66,68,1
67,69,2
68,71,1
69,72,1
70,77,1
71,80,1
72,82,1
73,106,1
74,116,1
75,122,1
76,165,1
