,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
0,4,0,49,0,325.7239513184019,0.0,10.857465043946728,0.0,81.43098782960047,2.714366260986682
1,3,0,40,0,256.3598263462071,0.0,8.54532754487357,0.0,85.45327544873571,2.8484425149578567
2,4,2,58,28,366.9408694169188,191.05573488437216,12.231362313897293,6.368524496145739,91.7352173542297,3.0578405784743232
3,4,0,51,0,366.1911108998648,0.0,12.206370363328823,0.0,91.5477777249662,3.0515925908322057
4,4,0,58,0,338.94757685222686,0.0,11.298252561740895,0.0,84.73689421305671,2.824563140435224
5,4,1,50,13,351.95653041414596,124.40492420520499,11.731884347138198,4.146830806840167,87.98913260353649,2.9329710867845495
6,3,0,42,0,270.7319738601841,0.0,9.024399128672805,0.0,90.24399128672803,3.0081330428909347
7,4,2,44,25,370.495325266185,209.96592925168858,12.3498441755395,6.998864308389619,92.62383131654624,3.087461043884875
8,4,1,58,14,376.47931396500456,75.87029756598169,12.549310465500152,2.5290099188660564,94.11982849125114,3.137327616375038
9,1,0,13,0,90.6222592947251,0.0,3.0207419764908368,0.0,90.6222592947251,3.0207419764908368
10,1,0,5,0,59.037614549897384,0.0,1.9679204849965795,0.0,59.037614549897384,1.9679204849965795
11,3,0,36,0,288.34335273157524,0.0,9.611445091052506,0.0,96.11445091052508,3.2038150303508353
12,4,0,37,0,288.26720684215275,0.0,9.608906894738427,0.0,72.06680171053819,2.4022267236846067
13,4,0,48,0,377.4656527276252,0.0,12.58218842425417,0.0,94.3664131819063,3.1455471060635425
14,4,2,50,28,362.0291446529883,183.43812606712174,12.067638155099612,6.114604202237391,90.50728616324707,3.016909538774903
15,2,0,19,0,118.31125493291412,0.0,3.9437084977638044,0.0,59.15562746645706,1.9718542488819022
16,4,0,52,0,372.502527885703,0.0,12.416750929523433,0.0,93.12563197142575,3.104187732380858
17,4,0,61,0,381.87258389850064,0.0,12.72908612995002,0.0,95.46814597462516,3.182271532487505
18,3,0,40,0,279.37236962854143,0.0,9.312412320951381,0.0,93.12412320951381,3.104137440317127
19,4,2,60,16,412.9362033198605,124.82476235776178,13.764540110662015,4.1608254119253925,103.23405082996513,3.4411350276655037
20,5,1,61,21,444.4185513275305,109.15318023984801,14.813951710917685,3.638439341328267,88.8837102655061,2.962790342183537
21,4,0,46,0,316.2385914572563,0.0,10.541286381908545,0.0,79.05964786431407,2.6353215954771363
22,3,0,50,0,275.8676306276602,0.0,9.195587687588674,0.0,91.95587687588674,3.065195895862891
23,5,1,58,10,431.81563829615624,86.6958304962138,14.393854609871875,2.88986101654046,86.36312765923125,2.878770921974375
